,Model,MAE,MSE,R2 Score
4,Random Forest,0.08345838356164384,0.014348978123287668,0.9106923508431611
3,Decision Tree,0.11253698630136987,0.029578246575342467,0.8159057986479169
0,Linear Regression,0.20032749194626076,0.07033030190937815,0.562266115813258
1,Ridge Regression,0.20044598170064593,0.07034488276584593,0.5621753649595986
2,Lasso Regression,0.31479021074216296,0.15373814695275523,0.043137959225395206
